,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
54,2025,Matchweek 18,Internazionale,Cagliari,Away,16412,3-1-4-2,4-2-3-1,3.2,0.3,65,19,4,15.8,1,1,1,3,0,W
55,2025,Matchweek 20,Internazionale,Venezia,Away,12048,3-1-4-2,3-5-2,1.9,0.4,59,17,6,17,2,0,0,1,0,W
56,2025,Matchweek 19,Internazionale,Bologna,Home,63074,3-5-2,4-2-3-1,1.7,0.6,48,12,6,18.4,1,0,0,2,2,D
57,2025,Matchweek 21,Internazionale,Empoli,Home,61230,3-5-2,5-3-2,2.1,0.4,68,19,7,17,0,0,0,3,1,W
58,2025,Matchweek 22,Internazionale,Lecce,Away,27223,3-5-2,4-3-3,2.1,0.9,51,8,4,16,0,1,1,4,0,W
59,2025,Matchweek 23,Internazionale,Milan,Away,75493,3-5-2,4-3-3,1.3,0.6,63,16,6,13.8,0,0,0,1,1,D
60,2025,Matchweek 24,Internazionale,Fiorentina,Home,67484,3-5-2,3-5-1-1,2.2,0.9,62,22,8,15,1,0,0,2,1,W
61,2025,Matchweek 25,Internazionale,Juventus,Away,41361,3-5-2,4-2-3-1,1.8,1.3,58,17,2,16.1,1,0,0,0,1,L
62,2025,Matchweek 26,Internazionale,Genoa,Home,68271,3-1-4-2,4-2-3-1,1.5,1.3,62,18,4,17.7,0,0,0,1,0,W
63,2025,Matchweek 27,Internazionale,Napoli,Away,53851,3-5-2,4-3-3,0.3,1.8,38,6,1,20.9,1,0,0,1,1,D
64,2025,Matchweek 28,Internazionale,Monza,Home,66344,3-5-2,3-5-2,2.6,0.6,69,30,9,15,0,0,0,3,2,W
65,2025,Matchweek 29,Internazionale,Atalanta,Away,23215,3-5-2,3-4-1-2,2.2,0.6,51,14,4,16.6,0,0,0,2,0,W
66,2025,Matchweek 30,Internazionale,Udinese,Home,71924,3-5-2,3-5-1-1,1.7,0.7,60,13,2,12.7,0,0,0,2,1,W
67,2025,Matchweek 31,Internazionale,Parma,Away,22126,3-5-2,5-3-2,2,1.4,63,20,4,17.2,1,0,0,2,2,D
68,2025,Matchweek 32,Internazionale,Cagliari,Home,71799,3-5-2,3-5-1-1,1.8,1.1,61,13,4,14.3,0,0,0,3,1,W
69,2025,Matchweek 33,Internazionale,Bologna,Away,31978,3-5-2,4-2-3-1,0.5,0.8,52,8,1,18.2,0,0,0,0,1,L
70,2025,Matchweek 34,Internazionale,Roma,Home,70240,3-5-2,3-5-2,1.1,1.9,69,17,2,17.4,1,0,0,0,1,L
71,2025,Matchweek 35,Internazionale,Hellas Verona,Home,70222,3-5-2,3-5-1-1,1.3,0.2,69,8,1,18.1,0,1,1,1,0,W
72,2025,Matchweek 36,Internazionale,Torino,Away,26537,3-4-3,4-2-3-1,2.5,1.5,58,11,6,16.2,0,1,1,2,0,W
73,2025,Matchweek 37,Internazionale,Lazio,Home,71060,3-5-2,4-2-3-1,1.1,2.1,56,10,3,14,0,0,0,2,2,D
74,2025,Matchweek 38,Internazionale,Como,Away,10656,3-4-3,4-2-3-1,1.4,1.2,60,11,6,15.1,1,0,0,2,0,W
75,2025,Matchweek 1,Atalanta,Lecce,Away,28719,3-4-1-2,4-2-3-1,1.7,1.5,52,10,5,13.4,0,1,1,4,0,W
76,2025,Matchweek 2,Atalanta,Torino,Away,20451,3-4-3,3-5-2,3,2.4,58,24,8,16,1,0,1,1,2,L
77,2025,Matchweek 3,Atalanta,Inter,Away,71745,3-4-3,3-5-2,1.4,1.3,45,11,1,17.1,0,0,0,0,4,L
78,2025,Matchweek 4,Atalanta,Fiorentina,Home,22705,3-4-3,3-4-3,1.7,1.7,51,13,7,13.6,0,0,0,3,2,W
79,2025,Matchweek 5,Atalanta,Como,Home,22977,3-4-1-2,4-2-3-1,1.6,1.1,59,7,4,20,0,1,1,2,3,L
80,2025,Matchweek 6,Atalanta,Bologna,Away,27126,3-4-1-2,4-3-3,2,0.1,64,23,4,16.2,0,0,0,1,1,D
81,2025,Matchweek 7,Atalanta,Genoa,Home,23138,3-4-3,3-5-2,3.6,0.7,63,22,7,15.3,0,1,1,5,1,W
82,2025,Matchweek 8,Atalanta,Venezia,Away,11979,3-4-3,3-4-3,1.4,0.8,57,16,7,15.7,0,0,0,2,0,W
83,2025,Matchweek 9,Atalanta,Hellas Verona,Home,23015,3-4-3,3-4-3,2.4,0.2,69,19,10,15.3,0,0,0,6,1,W
84,2025,Matchweek 10,Atalanta,Monza,Home,22142,3-4-3,3-4-3,1.2,0.1,53,16,5,19.1,2,0,0,2,0,W
85,2025,Matchweek 11,Atalanta,Napoli,Away,50873,3-4-1-2,4-3-3,1.2,0.8,50,12,3,13.7,0,0,0,3,0,W
86,2025,Matchweek 12,Atalanta,Udinese,Home,22884,3-4-3,3-5-2,0.9,0.8,54,10,3,12.4,0,0,0,2,1,W
87,2025,Matchweek 13,Atalanta,Parma,Away,18790,3-4-1-2,4-2-3-1,2.7,0.7,55,15,6,13,0,0,0,3,1,W
88,2025,Matchweek 14,Atalanta,Roma,Away,55772,3-4-3,3-5-1-1,1.3,0.4,52,18,7,15.1,1,0,0,2,0,W
89,2025,Matchweek 15,Atalanta,Milan,Home,22606,3-4-1-2,4-2-3-1,2.1,0.7,52,17,8,14.1,0,0,0,2,1,W
90,2025,Matchweek 16,Atalanta,Cagliari,Away,15985,3-4-3,3-5-2,1.5,1.4,56,12,2,13.9,0,0,0,1,0,W
91,2025,Matchweek 17,Atalanta,Empoli,Home,22163,3-4-3,3-4-3,1.3,1.3,65,16,6,12.1,0,0,0,3,2,W
92,2025,Matchweek 18,Atalanta,Lazio,Away,48000,3-4-1-2,4-2-3-1,2.7,0.6,60,14,3,11,0,0,0,1,1,D
93,2025,Matchweek 20,Atalanta,Udinese,Away,21727,3-4-1-2,3-5-2,0.2,1.5,54,4,2,15.5,0,0,0,0,0,D
94,2025,Matchweek 19,Atalanta,Juventus,Home,22920,3-4-1-2,4-2-3-1,1.4,1.5,60,17,5,16,0,0,0,1,1,D
95,2025,Matchweek 21,Atalanta,Napoli,Home,22874,3-4-1-2,4-3-3,0.7,0.8,56,15,6,17.1,0,0,0,2,3,L
96,2025,Matchweek 22,Atalanta,Como,Away,10366,3-4-1-2,4-2-3-1,1,0.8,46,5,3,15.3,0,0,0,2,1,W
97,2025,Matchweek 23,Atalanta,Torino,Home,22547,3-4-1-2,5-4-1,2.9,0.6,65,21,9,15.9,0,0,1,1,1,D
98,2025,Matchweek 24,Atalanta,Hellas Verona,Away,20872,3-4-3,3-4-1-2,2.2,1.6,62,17,7,12.5,0,0,0,5,0,W
99,2025,Matchweek 25,Atalanta,Cagliari,Home,21485,3-4-3,4-5-1,0.4,0.2,59,9,2,20,1,0,0,0,0,D
100,2025,Matchweek 26,Atalanta,Empoli,Away,9176,3-4-3,3-1-4-2,2.1,0.9,54,14,8,11.7,0,0,0,5,0,W
101,2025,Matchweek 27,Atalanta,Venezia,Home,21991,3-4-3,3-5-2,1.9,0.8,60,18,3,12.7,0,0,0,0,0,D
102,2025,Matchweek 28,Atalanta,Juventus,Away,40266,3-4-3,4-2-3-1,3.2,0.9,37,18,8,14.1,0,1,1,4,0,W
103,2025,Matchweek 29,Atalanta,Inter,Home,23215,3-4-1-2,3-5-2,0.6,2.2,49,16,3,19.5,0,0,0,0,2,L
104,2025,Matchweek 30,Atalanta,Fiorentina,Away,20409,3-4-1-2,3-5-2,1.1,1.6,55,9,0,16.2,0,0,0,0,1,L
105,2025,Matchweek 31,Atalanta,Lazio,Home,22731,3-4-3,4-2-3-1,0.5,0.5,58,10,2,15.1,0,0,0,0,1,L
106,2025,Matchweek 32,Atalanta,Bologna,Home,23156,3-4-3,4-2-3-1,1,0.6,41,4,2,11.4,0,0,0,2,0,W
107,2025,Matchweek 33,Atalanta,Milan,Away,72745,3-4-3,3-4-3,1.9,0.6,52,11,2,12.2,0,0,0,1,0,W
108,2025,Matchweek 34,Atalanta,Lecce,Home,21875,3-4-3,4-2-3-1,2.3,1.4,73,20,5,16.3,0,1,1,1,1,D
109,2025,Matchweek 35,Atalanta,Monza,Away,10440,3-4-3,3-5-1-1,2.4,0.8,49,15,5,11.9,0,0,0,4,0,W
110,2025,Matchweek 36,Atalanta,Roma,Home,23249,3-4-3,3-4-3,2.3,0.8,57,16,3,15.3,0,0,0,2,1,W
111,2025,Matchweek 37,Atalanta,Genoa,Away,31929,3-4-3,4-3-3,2,1.2,45,13,6,16.9,0,0,0,3,2,W
112,2025,Matchweek 38,Atalanta,Parma,Home,23161,3-4-3,3-1-4-2,1.2,2.5,53,11,4,15.5,0,0,0,2,3,L
113,2025,Matchweek 1,Juventus,Como,Home,40696,4-2-3-1,4-4-2,1.2,0.2,57,13,6,20,1,0,0,3,0,W
114,2025,Matchweek 2,Juventus,Hellas Verona,Away,29575,4-2-3-1,3-4-3,1.2,0.5,60,7,4,18.4,0,1,1,3,0,W
115,2025,Matchweek 3,Juventus,Roma,Home,41375,4-2-3-1,4-2-3-1,0.5,0.3,49,8,1,16.5,1,0,0,0,0,D
116,2025,Matchweek 4,Juventus,Empoli,Away,15715,4-2-3-1,3-4-3,0.9,0.5,65,15,3,18.7,0,0,0,0,0,D
117,2025,Matchweek 5,Juventus,Napoli,Home,40295,4-2-3-1,4-2-3-1,0.3,0.3,64,9,1,20.4,0,0,0,0,0,D
118,2025,Matchweek 6,Juventus,Genoa,Away,26599,4-2-3-1,3-5-2,2.6,0.4,65,11,2,16.9,1,1,1,3,0,W
119,2025,Matchweek 7,Juventus,Cagliari,Home,40557,4-2-3-1,4-2-3-1,2.4,1.1,73,20,8,16.6,0,1,1,1,1,D
120,2025,Matchweek 8,Juventus,Lazio,Home,40800,4-3-3,4-2-3-1,1.3,0.1,69,16,3,18.1,1,0,0,1,0,W
121,2025,Matchweek 9,Juventus,Inter,Away,75000,4-2-3-1,3-5-2,2.1,3,53,10,5,13.6,0,0,0,4,4,D
